ORDER_ID,RESTAURANT_ID,CUSTOMER_ID,ORDER_TIME,TABLE_ID
1,1,1,2023-03-01 18:33:07,6
2,1,2,2023-03-10 13:12:48,20
3,1,3,2023-03-06 11:31:40,1
4,1,4,2023-03-03 12:39:58,13
5,1,5,2023-03-14 12:23:21,1
6,1,6,2023-03-07 19:14:18,20
7,1,7,2023-03-14 17:23:57,3
8,1,8,2023-03-07 17:17:37,19
9,1,9,2023-03-03 17:29:45,4
10,1,10,2023-03-04 11:12:35,17
11,1,11,2023-03-14 19:15:09,1
12,1,12,2023-03-15 17:08:55,6
13,1,13,2023-03-01 19:09:46,5
14,1,14,2023-03-13 18:11:51,8
15,1,15,2023-03-14 12:35:02,7
16,1,16,2023-03-11 19:22:53,3
17,1,17,2023-03-07 19:57:40,2
18,1,18,2023-03-07 13:34:17,1
19,1,19,2023-03-04 17:54:34,12
20,1,20,2023-03-06 12:26:05,16
21,1,21,2023-03-13 18:28:30,11
22,1,22,2023-03-14 19:29:22,2
23,1,23,2023-03-10 19:01:29,1
24,1,24,2023-03-15 19:32:02,4
25,1,25,2023-03-15 17:39:43,14
26,1,26,2023-03-01 18:40:49,13
27,1,27,2023-03-04 13:53:14,11
28,1,28,2023-03-01 12:39:04,1
29,1,29,2023-03-06 11:53:24,14
30,1,30,2023-03-14 11:27:43,20
31,1,31,2023-03-07 13:35:40,8
32,1,32,2023-03-08 12:22:34,5
33,1,33,2023-03-11 18:27:53,19
34,1,34,2023-03-01 11:59:35,20
35,1,35,2023-03-15 19:58:27,18
36,1,36,2023-03-04 11:30:27,18
37,1,37,2023-03-13 19:29:24,13
38,1,38,2023-03-13 18:08:04,20
39,1,39,2023-03-01 12:34:13,8
40,1,40,2023-03-04 13:06:20,7
41,1,41,2023-03-07 13:02:12,6
42,1,42,2023-03-07 17:57:19,5
43,1,43,2023-03-05 19:56:16,1
44,1,44,2023-03-14 18:00:27,14
45,1,45,2023-03-06 12:44:19,9
46,1,46,2023-03-06 13:36:29,9
47,1,47,2023-03-12 18:04:32,6
48,1,48,2023-03-04 11:34:24,8
49,1,49,2023-03-11 17:36:56,9
50,1,50,2023-03-08 13:00:19,3
51,1,51,2023-03-01 13:57:14,3
52,1,52,2023-03-03 17:48:56,6
53,1,53,2023-03-08 13:48:29,3
54,1,54,2023-03-05 11:54:22,10
55,1,55,2023-03-06 11:36:34,6
56,1,56,2023-03-07 12:51:12,6
57,1,57,2023-03-15 19:19:08,3
58,1,58,2023-03-13 11:01:25,15
59,1,59,2023-03-14 19:27:54,9
60,1,60,2023-03-08 12:00:46,11
61,1,61,2023-03-14 18:37:36,16
62,1,62,2023-03-10 19:00:55,16
63,1,63,2023-03-15 11:32:54,19
64,1,64,2023-03-05 12:56:36,11
65,1,65,2023-03-13 11:26:56,15
66,1,66,2023-03-13 11:45:23,10
67,1,67,2023-03-12 11:16:43,3
68,1,68,2023-03-12 19:44:47,13
69,1,69,2023-03-01 18:02:11,12
70,1,70,2023-03-14 18:10:12,12
71,1,71,2023-03-15 13:16:48,4
72,1,72,2023-03-06 11:30:05,12
73,1,73,2023-03-02 11:39:23,20
74,1,74,2023-03-13 12:30:24,7
75,1,75,2023-03-09 17:44:15,15
76,1,76,2023-03-07 11:26:29,11
77,1,77,2023-03-01 19:45:41,5
78,1,78,2023-03-12 13:50:32,7
79,1,79,2023-03-14 12:34:43,1
80,1,80,2023-03-04 12:52:08,15
81,1,81,2023-03-01 17:15:23,13
82,1,82,2023-03-10 17:24:12,16
83,1,83,2023-03-14 11:42:56,14
84,1,84,2023-03-14 13:40:50,19
85,1,85,2023-03-11 13:57:21,4
86,1,86,2023-03-11 11:08:08,10
87,1,87,2023-03-03 12:55:13,16
88,1,88,2023-03-15 12:10:40,7
89,1,89,2023-03-04 18:16:55,11
90,1,90,2023-03-15 18:20:09,16
91,1,91,2023-03-09 17:53:46,8
92,1,92,2023-03-05 12:17:06,5
93,1,93,2023-03-14 19:03:36,11
94,1,94,2023-03-15 19:43:12,9
95,1,95,2023-03-04 17:07:38,6
96,1,96,2023-03-08 19:09:09,19
97,1,97,2023-03-03 12:35:50,14
98,1,98,2023-03-11 13:34:51,18
99,1,99,2023-03-08 19:24:53,19
100,1,100,2023-03-03 17:24:00,14
101,1,129,2023-03-10 12:22:25,8
102,1,31,2023-03-10 18:17:36,4
103,1,416,2023-03-06 19:28:13,13
104,1,499,2023-03-11 12:07:11,3
105,1,394,2023-03-15 17:39:41,14
106,1,290,2023-03-05 17:21:32,13
107,1,366,2023-03-10 18:47:32,5
108,1,452,2023-03-13 18:16:03,3
109,1,44,2023-03-07 19:25:36,10
110,1,21,2023-03-06 18:23:21,8
111,1,105,2023-03-07 18:21:56,8
112,1,333,2023-03-04 17:03:59,12
113,1,108,2023-03-11 19:51:15,15
114,1,420,2023-03-05 18:09:06,13
115,1,150,2023-03-04 12:59:02,15
116,1,139,2023-03-04 13:17:26,19
117,1,124,2023-03-08 17:22:56,18
118,1,154,2023-03-10 19:14:24,11
119,1,54,2023-03-07 11:33:08,3
120,1,118,2023-03-11 18:59:35,3
121,1,227,2023-03-11 13:38:40,16
122,1,2,2023-03-05 13:30:49,4
123,1,309,2023-03-13 17:43:17,16
124,1,289,2023-03-11 18:08:52,5
125,1,301,2023-03-05 11:48:19,8
126,1,5,2023-03-03 12:04:56,15
127,1,363,2023-03-10 18:40:20,6
128,1,110,2023-03-14 11:50:23,13
129,1,433,2023-03-12 12:12:17,8
130,1,383,2023-03-05 19:59:11,13
131,1,53,2023-03-03 11:10:33,8
132,1,118,2023-03-01 12:38:47,4
133,1,85,2023-03-02 17:06:25,15
134,1,5,2023-03-09 18:48:17,11
135,1,317,2023-03-01 17:21:42,20
136,1,463,2023-03-06 11:47:06,19
137,1,354,2023-03-03 13:43:26,11
138,1,138,2023-03-09 19:13:58,6
139,1,107,2023-03-03 13:28:22,3
140,1,334,2023-03-10 19:26:20,5
141,1,182,2023-03-11 19:54:37,11
142,1,422,2023-03-08 18:10:29,4
143,1,22,2023-03-03 19:16:18,11
144,1,403,2023-03-15 18:18:03,15
145,1,284,2023-03-13 11:03:50,9
146,1,7,2023-03-02 13:49:25,7
147,1,178,2023-03-03 12:33:03,2
148,1,297,2023-03-14 19:44:40,15
149,1,424,2023-03-04 13:34:31,16
150,1,166,2023-03-09 13:51:36,20
151,1,63,2023-03-05 13:52:39,11
152,1,273,2023-03-10 11:36:24,19
153,1,6,2023-03-10 12:08:18,12
154,1,171,2023-03-04 18:02:56,6
155,1,383,2023-03-01 18:22:48,13
156,1,255,2023-03-06 18:10:49,16
157,1,4,2023-03-08 19:01:33,16
158,1,10,2023-03-02 18:37:12,19
159,1,494,2023-03-06 13:31:29,3
160,1,438,2023-03-14 18:21:38,13
161,1,248,2023-03-15 12:43:19,1
162,1,114,2023-03-02 19:59:38,15
163,1,470,2023-03-04 12:51:21,20
164,1,100,2023-03-06 13:19:37,19
165,1,365,2023-03-04 18:50:54,15
166,1,78,2023-03-11 18:45:49,10
167,1,463,2023-03-14 12:35:23,5
168,1,409,2023-03-01 17:07:18,13
169,1,301,2023-03-12 13:58:16,10
170,1,218,2023-03-05 18:15:38,16
171,1,206,2023-03-08 11:37:49,20
172,1,64,2023-03-15 18:23:39,3
173,1,52,2023-03-01 19:47:21,3
174,1,101,2023-03-15 18:45:32,20
175,1,367,2023-03-15 12:57:03,1
176,1,310,2023-03-05 13:20:56,19
177,1,360,2023-03-07 17:08:16,5
178,1,436,2023-03-09 18:06:43,13
179,1,115,2023-03-15 13:41:45,3
180,1,120,2023-03-06 13:54:57,5
181,1,145,2023-03-03 13:53:44,9
182,1,231,2023-03-13 12:36:48,14
183,1,247,2023-03-03 13:43:43,8
184,1,270,2023-03-12 17:10:07,14
185,1,393,2023-03-03 18:01:27,15
186,1,201,2023-03-12 13:46:55,1
187,1,220,2023-03-12 17:30:13,13
188,1,68,2023-03-04 12:52:32,10
189,1,107,2023-03-07 19:40:55,1
190,1,357,2023-03-05 18:49:13,15
191,1,476,2023-03-06 17:47:16,6
192,1,344,2023-03-12 19:14:21,7
193,1,106,2023-03-14 11:54:28,14
194,1,292,2023-03-10 19:00:38,3
195,1,218,2023-03-09 17:37:10,9
196,1,45,2023-03-06 17:35:07,4
197,1,335,2023-03-04 19:59:05,9
198,1,383,2023-03-11 19:54:11,2
199,1,371,2023-03-13 12:05:01,16
200,1,243,2023-03-13 17:33:58,11
201,1,119,2023-03-07 12:14:41,1
202,1,388,2023-03-09 12:19:31,12
203,1,69,2023-03-06 11:16:24,10
204,1,435,2023-03-08 19:18:38,6
205,1,328,2023-03-07 11:55:34,2
206,1,156,2023-03-05 13:30:43,4
207,1,430,2023-03-04 11:01:12,8
208,1,228,2023-03-07 19:51:26,1
209,1,277,2023-03-06 18:36:13,12
210,1,90,2023-03-02 13:29:10,2
211,1,89,2023-03-04 13:41:23,19
212,1,440,2023-03-09 19:33:23,13
213,1,477,2023-03-11 19:40:34,19
214,1,298,2023-03-08 19:38:44,1
215,1,87,2023-03-13 19:24:20,19
216,1,423,2023-03-04 18:15:12,6
217,1,98,2023-03-05 18:17:12,1
218,1,391,2023-03-05 11:28:17,3
219,1,210,2023-03-05 18:26:18,8
220,1,461,2023-03-06 12:07:19,12
221,1,349,2023-03-02 17:51:33,14
222,1,479,2023-03-10 13:43:33,9
223,1,368,2023-03-06 11:33:36,16
224,1,455,2023-03-03 13:42:29,4
225,1,243,2023-03-04 17:39:19,12
226,1,77,2023-03-06 12:38:48,5
227,1,216,2023-03-03 12:12:14,15
228,1,204,2023-03-06 11:17:51,20
229,1,44,2023-03-13 11:10:29,15
230,1,462,2023-03-03 18:25:20,17
231,1,116,2023-03-14 13:51:20,12
232,1,191,2023-03-06 18:41:56,16
233,1,245,2023-03-15 13:58:36,16
234,1,48,2023-03-14 17:24:02,7
235,1,399,2023-03-07 13:31:18,3
236,1,352,2023-03-11 18:53:30,2
237,1,420,2023-03-14 17:09:59,14
238,1,494,2023-03-13 18:29:38,12
239,1,283,2023-03-12 12:27:25,18
240,1,119,2023-03-07 19:24:16,14
241,1,414,2023-03-13 19:26:18,14
242,1,77,2023-03-08 17:07:27,8
243,1,229,2023-03-08 17:56:10,18
244,1,406,2023-03-13 19:14:47,7
245,1,49,2023-03-06 19:06:34,5
246,1,163,2023-03-05 11:51:31,2
247,1,448,2023-03-02 17:00:06,16
248,1,33,2023-03-12 12:20:56,11
249,1,492,2023-03-13 13:07:49,17
250,1,463,2023-03-04 11:50:41,8
251,1,451,2023-03-11 11:16:19,7
252,1,157,2023-03-05 11:11:53,14
253,1,150,2023-03-11 19:16:24,18
254,1,305,2023-03-09 13:26:55,17
255,1,315,2023-03-12 19:09:57,1
256,1,112,2023-03-06 19:51:23,5
257,1,353,2023-03-09 13:37:38,6
258,1,26,2023-03-03 19:16:22,2
259,1,134,2023-03-09 11:24:40,11
260,1,210,2023-03-13 12:46:22,16
261,1,394,2023-03-12 17:32:12,12
262,1,276,2023-03-05 18:01:15,5
263,1,442,2023-03-15 19:38:53,4
264,1,120,2023-03-15 17:08:06,17
265,1,157,2023-03-06 13:09:22,5
266,1,325,2023-03-09 13:36:22,2
267,1,330,2023-03-07 17:39:26,20
268,1,327,2023-03-04 17:54:00,13
269,1,171,2023-03-03 11:24:44,18
270,1,96,2023-03-09 11:36:33,12
271,1,110,2023-03-03 17:52:27,16
272,1,429,2023-03-15 19:48:58,11
273,1,333,2023-03-03 13:13:31,7
274,1,229,2023-03-08 13:58:07,17
275,1,235,2023-03-10 12:50:35,6
276,1,415,2023-03-12 19:50:49,12
277,1,438,2023-03-10 17:29:35,1
278,1,310,2023-03-10 17:39:01,13
279,1,18,2023-03-14 13:23:18,20
280,1,75,2023-03-05 19:48:45,17
281,1,360,2023-03-07 18:40:13,5
282,1,497,2023-03-07 18:10:48,4
283,1,331,2023-03-03 12:31:08,5
284,1,184,2023-03-10 18:14:49,1
285,1,419,2023-03-08 18:07:07,4
286,1,163,2023-03-05 13:00:14,11
287,1,277,2023-03-14 13:38:50,6
288,1,446,2023-03-12 11:42:34,16
289,1,371,2023-03-10 12:49:50,18
290,1,213,2023-03-07 13:14:03,9
291,1,497,2023-03-02 18:58:19,18
292,1,97,2023-03-08 18:52:58,12
293,1,364,2023-03-03 18:17:40,14
294,1,311,2023-03-03 12:43:50,6
